ABC Motors Volkswagen of Hagerstown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL,,
Xtime,"$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$1,295.00","$15,540.00",,
Total,"$6,757.64","$4,967.00","$4,967.00","$6,757.64","$4,967.00","$4,967.00","$6,757.64","$4,967.00","$4,967.00","$5,818.76","$4,967.00","$4,967.00","$65,827.68",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Allocation,,,,,,,,,,,,,,,
New,"$16,277.50","$17,020.93","$18,393.69","$18,333.61","$19,580.30","$19,496.01","$17,587.55","$17,345.14","$19,005.71","$19,096.77","$19,787.20","$19,787.20","$221,711.60",,
Used,"$6,386.72","$7,395.29","$7,945.82","$7,903.83","$8,473.81","$8,531.54","$7,668.35","$7,506.73","$8,294.23","$8,297.12","$8,567.01","$8,567.01","$95,537.47",,
Total,"$22,664.22","$24,416.23","$26,339.51","$26,237.44","$28,054.11","$28,027.55","$25,255.90","$24,851.87","$27,299.94","$27,393.89","$28,354.21","$28,354.21","$317,249.07",,
,,,,,,,,,,,,,,,
Line 109,"$22,664.22","$24,416.23","$26,339.51","$26,237.44","$28,054.11","$28,027.55","$25,255.90","$24,851.87","$27,299.94","$27,393.89","$28,354.21","$28,354.21","$317,249.07",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,HAGERSTOWN TOTAL,"$1,636,704.18",
